sexe,percentage_sexe,department,tranche_age,percentage_tranche_age,trajet,percentage_trajet,risk_score
1,74.5342548076923,77,25-29,13.566706730769232,5.0,33.47355769230769,71.42043356331335
1,74.5342548076923,77,25-29,13.566706730769232,5.0,33.47355769230769,71.42043356331335
1,74.5342548076923,77,25-29,13.566706730769232,5.0,33.47355769230769,71.42043356331335
1,75.5720289516694,94,30-34,14.32990894233014,5.0,26.949568059771188,9.46420414522424
1,75.5720289516694,94,30-34,14.32990894233014,5.0,26.949568059771188,9.46420414522424
1,75.5720289516694,94,30-34,14.32990894233014,5.0,26.949568059771188,9.46420414522424
1,73.22913202527435,71,25-29,11.34020618556701,5.0,47.5557033588294,45.265695406003495
1,73.22913202527435,71,25-29,11.34020618556701,5.0,47.5557033588294,45.265695406003495
1,73.22913202527435,71,25-29,11.34020618556701,5.0,47.5557033588294,45.265695406003495
1,73.11087570621469,69,25-29,14.836393596986817,0.0,31.65607344632768,66.5339597474485
1,73.11087570621469,69,25-29,14.836393596986817,0.0,31.65607344632768,66.5339597474485
1,73.11087570621469,69,25-29,14.836393596986817,0.0,31.65607344632768,66.5339597474485
1,71.11464124966905,45,25-29,13.026211278792694,5.0,34.842467566852,35.833379963935016
1,71.11464124966905,45,25-29,13.026211278792694,5.0,34.842467566852,35.833379963935016
1,71.11464124966905,45,25-29,13.026211278792694,5.0,34.842467566852,35.833379963935016
1,74.84536082474227,21,25-29,13.539518900343642,5.0,48.45360824742268,73.73110712536942
1,74.84536082474227,21,25-29,13.539518900343642,5.0,48.45360824742268,73.73110712536942
1,74.84536082474227,21,25-29,13.539518900343642,5.0,48.45360824742268,73.73110712536942
1,80.55704641111832,75,30-34,15.465664811728482,5.0,26.891895709160757,42.99629976953962
1,80.55704641111832,75,30-34,15.465664811728482,5.0,26.891895709160757,42.99629976953962
1,80.55704641111832,75,30-34,15.465664811728482,5.0,26.891895709160757,42.99629976953962
1,74.11935162546409,91,25-29,13.909263787014398,0.0,25.183374083129586,69.88746142119717
1,74.11935162546409,91,25-29,13.909263787014398,0.0,25.183374083129586,69.88746142119717
1,74.11935162546409,91,25-29,13.909263787014398,0.0,25.183374083129586,69.88746142119717
1,73.14049586776859,89,25-29,11.570247933884298,5.0,40.358126721763085,45.90216107746779
1,73.14049586776859,89,25-29,11.570247933884298,5.0,40.358126721763085,45.90216107746779
1,73.14049586776859,89,25-29,11.570247933884298,5.0,40.358126721763085,45.90216107746779
